Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9UHX3;Q9UHX3-3;Q9UHX3-4;Q9UHX3-5;Q9UHX3-6	Q9UHX3;Q9UHX3-2;Q9UHX3-3;Q9UHX3-4;Q9UHX3-5;Q9UHX3-6	AGRE2_HUMAN	ADGRE2	Adhesion G protein-coupled receptor E2	60057
Q9UHY1	Q9UHY1	NRBP_HUMAN	NRBP1	Nuclear receptor-binding protein	504084
Q9UHY7	Q9UHY7;Q9UHY7-2	ENOPH_HUMAN	ENOPH1	Enolase-phosphatase E1	609395
Q9UHY8;Q9UHY8-2	Q9UHY8;Q9UHY8-2	FEZ2_HUMAN	FEZ2	Fasciculation and elongation protein zeta-2	21428
Q9UI09	Q9UI09	NDUAC_HUMAN	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	905668
Q9UI10	Q9UI10;Q9UI10-2;Q9UI10-3	EI2BD_HUMAN	EIF2B4	Translation initiation factor eIF-2B subunit delta	1.07648e+06
Q9UI12;Q9UI12-2	Q9UI12;Q9UI12-2	VATH_HUMAN	ATP6V1H	V-type proton ATPase subunit H	541120
Q9UI15	Q9UI15	TAGL3_HUMAN	TAGLN3	Transgelin-3	26230
Q9UI26;Q9UI26-2	Q9UI26;Q9UI26-2	IPO11_HUMAN	IPO11	Importin-11	1.22549e+06
Q9UI30	Q9UI30	TR112_HUMAN	TRMT112	Multifunctional methyltransferase subunit TRM112-like protein	1.13752e+06
Q9UI43	Q9UI43	MRM2_HUMAN	MRM2	rRNA methyltransferase 2, mitochondrial	69952
Q9UIA9	Q9UIA9	XPO7_HUMAN	XPO7	Exportin-7	2.41292e+06
Q9UIC8;Q9UIC8-2;Q9UIC8-3	Q9UIC8;Q9UIC8-2;Q9UIC8-3	LCMT1_HUMAN	LCMT1	Leucine carboxyl methyltransferase 1	226621
Q9UID3	Q9UID3;Q9UID3-2	VPS51_HUMAN	VPS51	Vacuolar protein sorting-associated protein 51 homolog	574268
Q9UIF9;Q9UIF9-2;Q9UIF9-3	Q9UIF9;Q9UIF9-2;Q9UIF9-3	BAZ2A_HUMAN	BAZ2A	Bromodomain adjacent to zinc finger domain protein 2A	254152
Q9UIG0;Q9UIG0-2	Q9UIG0;Q9UIG0-2	BAZ1B_HUMAN	BAZ1B	Tyrosine-protein kinase BAZ1B	4.40619e+06
Q9UII4	Q9UII4	HERC5_HUMAN	HERC5	E3 ISG15--protein ligase HERC5	139840
Q9UIJ7	Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3	KAD3_HUMAN	AK3	GTP:AMP phosphotransferase AK3, mitochondrial	1.0446e+06
Q9UIL1;Q9UIL1-2;Q9UIL1-3	Q9UIL1;Q9UIL1-2;Q9UIL1-3	SCOC_HUMAN	SCOC	Short coiled-coil protein	8491
Q9UIM3	Q9UIM3	FKBPL_HUMAN	FKBPL	FK506-binding protein-like	109085
Q9UIQ6	Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	LCAP_HUMAN	LNPEP	Leucyl-cystinyl aminopeptidase	1.70765e+06
Q9UIS9;Q9UIS9-10;Q9UIS9-11;Q9UIS9-12;Q9UIS9-2;Q9UIS9-4;Q9UIS9-5;Q9UIS9-7;Q9UIS9-8;Q9UIS9-9	Q9UIS9;Q9UIS9-2;Q9UIS9-4;Q9UIS9-5;Q9UIS9-6;Q9UIS9-7;Q9UIS9-8;Q9UIS9-9;Q9UIS9-10;Q9UIS9-11;Q9UIS9-12	MBD1_HUMAN	MBD1	Methyl-CpG-binding domain protein 1	168176
Q9UIU6	Q9UIU6	SIX4_HUMAN	SIX4	Homeobox protein SIX4	284748
Q9UIV1	Q9UIV1;Q9UIV1-2	CNOT7_HUMAN	CNOT7	CCR4-NOT transcription complex subunit 7	292836
Q9UJ41;Q9UJ41-3;Q9UJ41-4	Q9UJ41;Q9UJ41-3;Q9UJ41-4	RABX5_HUMAN	RABGEF1	Rab5 GDP/GTP exchange factor	377491
Q9UJ68;Q9UJ68-2;Q9UJ68-3;Q9UJ68-5	Q9UJ68;Q9UJ68-2;Q9UJ68-3;Q9UJ68-4;Q9UJ68-5	MSRA_HUMAN	MSRA	Mitochondrial peptide methionine sulfoxide reductase	244279
Q9UJ70;Q9UJ70-2	Q9UJ70;Q9UJ70-2	NAGK_HUMAN	NAGK	N-acetyl-D-glucosamine kinase	1.25553e+06
Q9UJ83;Q9UJ83-2	Q9UJ83;Q9UJ83-2	HACL1_HUMAN	HACL1	2-hydroxyacyl-CoA lyase 1	776787
Q9UJA5	Q9UJA5;Q9UJA5-2;Q9UJA5-3;Q9UJA5-4	TRM6_HUMAN	TRMT6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	463167
Q9UJC3;Q9UJC3-2	Q9UJC3;Q9UJC3-2	HOOK1_HUMAN	HOOK1	Protein Hook homolog 1	189930
Q9UJF2;Q9UJF2-2	Q9UJF2;Q9UJF2-2	NGAP_HUMAN	RASAL2	Ras GTPase-activating protein nGAP	36812
Q9UJK0	Q9UJK0	TSR3_HUMAN	TSR3	Ribosome biogenesis protein TSR3 homolog	49361
Q9UJM3	Q9UJM3	ERRFI_HUMAN	ERRFI1	ERBB receptor feedback inhibitor 1	35201
Q9UJQ4	Q9UJQ4	SALL4_HUMAN	SALL4	Sal-like protein 4	503487
Q9UJS0;Q9UJS0-2	Q9UJS0;Q9UJS0-2	CMC2_HUMAN	SLC25A13	Calcium-binding mitochondrial carrier protein Aralar2	2.44739e+06
