Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9BZF1;Q9H0X9;Q9H0X9-2	Q9BZF1;Q9BZF1-2;Q9BZF1-3;Q9H0X9;Q9H0X9-2;Q9H0X9-3	OSBL5_HUMAN;OSBL8_HUMAN	OSBPL5;OSBPL8	Oxysterol-binding protein-related protein 8	43923
Q9BZF3;Q9BZF3-3;Q9BZF3-4;Q9BZF3-5	Q9BZF3;Q9BZF3-2;Q9BZF3-3;Q9BZF3-4;Q9BZF3-5	OSBL6_HUMAN	OSBPL6	Oxysterol-binding protein-related protein 6	28930
Q9BZF3;Q9BZF3-3;Q9BZF3-4;Q9BZF3-5;Q9H4L5;Q9H4L5-3	Q9H4L5;Q9H4L5-2;Q9H4L5-3;Q9H4L5-4;Q9BZF3;Q9BZF3-2;Q9BZF3-3;Q9BZF3-4;Q9BZF3-5	OSBL3_HUMAN;OSBL6_HUMAN	OSBPL3;OSBPL6	Oxysterol-binding protein-related protein 6	50763
Q9BZF9;Q9BZF9-2	Q9BZF9;Q9BZF9-2	UACA_HUMAN	UACA	Uveal autoantigen with coiled-coil domains and ankyrin repeats	107789
Q9BZG1	Q9BZG1;Q9BZG1-2;Q9BZG1-4	RAB34_HUMAN	RAB34	Ras-related protein Rab-34	334390
Q9BZG8	Q9BZG8;Q9BZG8-2;Q9BZG8-3	DPH1_HUMAN	DPH1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	42137
Q9BZH6	Q9BZH6	WDR11_HUMAN	WDR11	WD repeat-containing protein 11	232172
Q9BZI7;Q9BZI7-2	Q9BZI7;Q9BZI7-2	REN3B_HUMAN	UPF3B	Regulator of nonsense transcripts 3B	94965
Q9BZJ0;Q9BZJ0-2;Q9BZJ0-3	Q9BZJ0;Q9BZJ0-2;Q9BZJ0-3	CRNL1_HUMAN	CRNKL1	Crooked neck-like protein 1	244553
Q9BZK3	Q9BZK3	NACP4_HUMAN	NACA4P	Putative nascent polypeptide-associated complex subunit alpha-like protein	48516
Q9BZK7	Q9BZK7	TBL1R_HUMAN	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1	112904
Q9BZL1	Q9BZL1	UBL5_HUMAN	UBL5	Ubiquitin-like protein 5	170852
Q9BZL4;Q9BZL4-4	Q9BZL4;Q9BZL4-3;Q9BZL4-4;Q9BZL4-5	PP12C_HUMAN	PPP1R12C	Protein phosphatase 1 regulatory subunit 12C	49080
Q9BZM4	Q9BZM4	ULBP3_HUMAN	ULBP3	UL16-binding protein 3	19081
Q9BZQ6;Q9BZQ6-2	Q9BZQ6;Q9BZQ6-2	EDEM3_HUMAN	EDEM3	ER degradation-enhancing alpha-mannosidase-like protein 3	63763
Q9BZQ8	Q9BZQ8	NIBA1_HUMAN	NIBAN1	Protein Niban 1	177728
Q9BZV1	Q9BZV1;Q9BZV1-2	UBXN6_HUMAN	UBXN6	UBX domain-containing protein 6	194011
Q9BZX2	Q9BZX2	UCK2_HUMAN	UCK2	Uridine-cytidine kinase 2	184037
Q9BZX2;Q9HA47;Q9HA47-3;Q9HA47-4	Q9BZX2;Q9BZX2-2;Q9HA47;Q9HA47-3;Q9HA47-4	UCK1_HUMAN;UCK2_HUMAN	UCK1;UCK2	Uridine-cytidine kinase 2	55839
Q9BZZ5	Q9BZZ5;Q9BZZ5-6	API5_HUMAN	API5	Apoptosis inhibitor 5	1.03009e+06
Q9C005	Q9C005	DPY30_HUMAN	DPY30	Protein dpy-30 homolog	558166
Q9C035;Q9C035-2;Q9C035-3;Q9C035-4;Q9C035-5;Q9C035-6	Q9C035;Q9C035-2;Q9C035-3;Q9C035-4;Q9C035-5;Q9C035-6	TRIM5_HUMAN	TRIM5	Tripartite motif-containing protein 5	146227
Q9C037;Q9C037-2;Q9C037-3	Q9C037;Q9C037-2;Q9C037-3	TRIM4_HUMAN	TRIM4	E3 ubiquitin-protein ligase TRIM4	129313
Q9C040;Q9C040-2	Q9C040;Q9C040-2	TRIM2_HUMAN	TRIM2	Tripartite motif-containing protein 2	24794
Q9C086	Q9C086	IN80B_HUMAN	INO80B	INO80 complex subunit B	16062
Q9C091;Q9C091-3	Q9C091;Q9C091-3	GRB1L_HUMAN	GREB1L	GREB1-like protein	1.04399e+06
Q9C099;Q9C099-2	Q9C099;Q9C099-2	LRCC1_HUMAN	LRRCC1	Leucine-rich repeat and coiled-coil domain-containing protein 1	85192
Q9C0A1	Q9C0A1	ZFHX2_HUMAN	ZFHX2	Zinc finger homeobox protein 2	99684
